Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
PosHorizColeta: 1 = Margem direita, 2 = Centro, 3 = Margem esquerda, 4 = Composta, 5 = Extra, 6 = Indefinida, 7 = Superfície, 8 = Integrada, 9 = 40%, 10 = 50%
PosVertColeta: 1 = Indefinida, 2 = Superficial, 3 = Integrada, 4 = Fundo, 5 = 20%, 6 = 40%, 7 = 50%, 8 = 60%, 9 = 70%, 10 = 80%
Choveu: 0 = Não, 1 = Sim
Status: 0 = Branco, 1 = Real, 2 = Menor que (<), 3 = Valor aceito (VA), 4 = Não detectado (ND)

Restrições da consulta:
Código da Estação:62510060


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;PosHorizColeta;PosVertColeta;Choveu;Profundidade;TempAr;TempAmostra;pH;Cor;Turbidez;CondutividadeEletrica;DurezaTotal;Dureza;DQO;DBO;OD;SolTotais;SolFixos;SolVolateis;SolSuspensaoTotais;SolSuspensaoFixos;SolSuspensaoVolateis;SolDissolvidosTotais;SolDissolvidosFixos;SolDissolvidosVolateis;SolSedimentaveis;Detergentes;AlcalinidadeCO3;AlcalinidadeHCO3;AlcalinidadeOH;Cloretos;Sulfatos;Sulfetos;Fluoretos;FosfatoTotal;Cianetos;NitrogenioTotal;AmoniaNaoIonizavel;NitrogenioAmoniacal;Nitratos;Nitritos;CompostosOrganoclorados;CompostosOrganofosforados;Aluminio;Arsenio;Cadmio;Chumbo;Cobre;CromoTrivalente;CromoHexavalente;Manganes;Mercurio;Niquel;Zinco;IndiceFenois;ColiformesTotais;ColiformesFecais;CloroResidual;Bario;Berilio;Boro;Cobalto;Estanho;Litio;Prata;Selenio;UranioTotal;Vanadio;Benzeno;BenzoAPireno;n11Dicloroeteno;n12Dicloroetano;Pentaclorofenol;Tetracloroeteno;Tricloroeteno;TetracloretoCarbono;n246Triclorofenol;Aldrin;Clordano;DDT;Dieldrin;Endrin;Endossulfan;EpoxidoHeptacloro;Heptacloro;Lindano;Metoxicloro;DodecacloroNonacloro;BifenilasPolicloradas;Toxafeno;Demeton;Gution;Malation;Paration;Carbaril;Acido24Diclorofenoxiacetico;n245TP;n245T;BHC;Ethion;DySystonDisulfton;Phosdrin;DDEPP;AzinfosEtil;Diazinon;EstreptococosFecais;Salmonelas;Colifagos;BacteriasHeterotroficas;Protozoarios;Fungos;Algas;ContagemBacteriasPlaca;Clorofila;OleosGraxas;AlcalinidadeTotal;CarbonoOrganicoTotal;Hidrocarbonetos;OrtofosfatoTotal;CromoTotal;MetilParation;NitrogenioOrganico;SodioTotal;MagnesioTotal;SilicaDissolvida;PotassioTotal;CalcioTotal;FerroTotal;DescargaLiquida;FosforoTotal;BismutoTotal;Acidez;NitrogenioTotalKJELDAHL;NitrogenioAlbuminoide;Transparencia;EnteroBacteriasPatogenicas;ZooplanctonTotal;Amoniaco;IQA;ColiformesTermotolerantes;Escherichia;Aluminiodissolvido;Borodissolvido;Cianetolivre;Cobredissolvido;CondutividadeEspecifica;Densidadecianobacterias;Durezamagnesio;FerroDissolvido;FitoplanctonQuantitativo;ODsaturacao;ParametroProfundidadeQualAgua001Status;QualAgua002Status;QualAgua003Status;QualAgua004Status;QualAgua005Status;QualAgua006Status;QualAgua007Status;QualAgua008Status;QualAgua009Status;QualAgua010Status;QualAgua011Status;QualAgua012Status;QualAgua013Status;QualAgua014Status;QualAgua015Status;QualAgua016Status;QualAgua017Status;QualAgua018Status;QualAgua019Status;QualAgua020Status;QualAgua021Status;QualAgua022Status;QualAgua023Status;QualAgua024Status;QualAgua025Status;QualAgua026Status;QualAgua027Status;QualAgua028Status;QualAgua029Status;QualAgua030Status;QualAgua031Status;QualAgua032Status;QualAgua033Status;QualAgua034Status;QualAgua035Status;QualAgua036Status;QualAgua037Status;QualAgua038Status;QualAgua039Status;QualAgua040Status;QualAgua041Status;QualAgua042Status;QualAgua043Status;QualAgua044Status;QualAgua045Status;QualAgua046Status;QualAgua047Status;QualAgua048Status;QualAgua049Status;QualAgua050Status;QualAgua051Status;QualAgua052Status;QualAgua053Status;QualAgua054Status;QualAgua055Status;QualAgua056Status;QualAgua057Status;QualAgua058Status;QualAgua059Status;QualAgua060Status;QualAgua061Status;QualAgua062Status;QualAgua063Status;QualAgua064Status;QualAgua065Status;QualAgua066Status;QualAgua067Status;QualAgua068Status;QualAgua069Status;QualAgua070Status;QualAgua071Status;QualAgua072Status;QualAgua073Status;QualAgua074Status;QualAgua075Status;QualAgua076Status;QualAgua077Status;QualAgua078Status;QualAgua079Status;QualAgua080Status;QualAgua081Status;QualAgua082Status;QualAgua083Status;QualAgua084Status;QualAgua085Status;QualAgua086Status;QualAgua087Status;QualAgua088Status;QualAgua089Status;QualAgua090Status;QualAgua091Status;QualAgua092Status;QualAgua093Status;QualAgua094Status;QualAgua095Status;QualAgua096Status;QualAgua097Status;QualAgua098Status;QualAgua099Status;QualAgua100Status;QualAgua101Status;QualAgua102Status;QualAgua103Status;QualAgua104Status;QualAgua105Status;QualAgua106Status;QualAgua107Status;QualAgua108Status;QualAgua109Status;QualAgua110Status;QualAgua111Status;QualAgua112Status;QualAgua113Status;QualAgua114Status;QualAgua115Status;QualAgua116Status;QualAgua117Status;QualAgua118Status;QualAgua119Status;QualAgua120Status;QualAgua121Status;QualAgua122Status;QualAgua123Status;QualAgua124Status;QualAgua125Status;QualAgua126Status;QualAgua127Status;QualAgua128Status;QualAgua129Status;QualAgua130Status;QualAgua131Status;QualAgua132Status;QualAgua133Status;QualAgua134Status;QualAgua135Status;QualAgua136Status;QualAgua137Status;QualAgua138Status;QualAgua139Status;QualAgua140Status;QualAgua141Status;QualAgua142Status;QualAgua143Status;QualAgua144Status;QualAgua145Status;QualAgua146Status;QualAgua147Status;
62510060;1;16/01/2018;01/01/1900 10:45:00;;;;;;;;;;4,3;;20,5;;;2,0;7,5;;;;80,0;;;61,0;;;;;;;;;;;0,11;;;;;0,1;;;;;;0,01;0,0007;;0,01;;;0,03;;0,02;0,02;;;;;0,02;;0,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,9;;22,7;3,37;;;0,02;;;;1,39;;;5,92;0,12;;;;;;;;;;;;;1;0,1;;;00000000;;92000,0;;0,1;;;;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;
62510060;1;28/11/2017;01/01/1900 12:30:00;;;;;;;;;;6,2;;19,3;;;2,0;7,9;;;;52,0;;;50,0;;;;;;;;;;;0,1;;;;;0,1;;;;;;0,01;0,0007;;0,01;;;0,02;;0,02;0,02;;;;;0,02;;0,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,49;;22,1;3,3;;;0,02;;;;1,49;;;5,27;0,2;;;;;;;;;;;;;33;0,3;;;00000000;;69715,0;;0,1;;;;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;
62510060;1;21/09/2017;01/01/1900 12:20:00;;;;;;;;;;3,2;;;;;2,0;8,5;;;;53,0;;;50,0;;;;;;;;;;;0,1;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,37;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;
62510060;1;18/11/2010;01/01/1900 10:00:00;31046,0;;;;;;21,8;7,3;;6,1;;;;;2,0;8,1;42,0;;;;;;;;;;;;;;;;;;0,0;;0,0;;0,44;0,2;0,1;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,03;;;0,86;;;;;;92,000;;;;;;;;;;;;;;;1;1;;1;;;;;2;1;1;;;;;;;;;;;;;;;;;;0;;0;;2;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;2;;;;;;;;;;;;;;;;
62510060;1;23/09/2010;01/01/1900 10:00:00;31045,0;;;;;;21,1;6,9;;5,1;;;;;6,0;7,9;88,0;;;;;;;;;;;;;;;;;;0,0;;0,0;;0,1;0,2;0,1;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,02;;;0,5;;;;;;88,000;;;;;;;;;;;;;;;1;1;;1;;;;;2;1;1;;;;;;;;;;;;;;;;;;0;;0;;2;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;2;;;;;;;;;;;;;;;;
62510060;1;27/07/2010;01/01/1900 10:00:00;31044,0;;;;;;21,2;7,5;;7,3;;;;;2,0;8,6;80,0;;;;;;;;;;;;;;;;;;0,0;;0,0;;0,1;0,2;0,1;;;;;;;;;;;;;;;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,09;;;0,55;;;;;;84,000;;;;;;;;;;;;;;;1;1;;1;;;;;2;1;1;;;;;;;;;;;;;;;;;;0;;0;;2;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;2;;;;2;;;;;;;;;;;;;;;;
62510060;1;20/05/2010;01/01/1900 10:00:00;31043,0;;;;;;20,5;6,7;;2,5;;;;;2,0;6,4;56,0;;;;;;;;;;;;;;;;;;0,0;;0,0;;0,1;0,2;0,01;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,02;;;0,58;;;;;;90,000;;;;;;;;;;;;;;;1;1;;1;;;;;2;1;1;;;;;;;;;;;;;;;;;;0;;0;;2;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;2;;;;2;;;;;;;;;;;;;;;;
62510060;1;02/03/2010;01/01/1900 10:00:00;31042,0;;;;;;24,0;7,3;;5,0;;;;;2,0;6,1;54,0;;;;;;;;;;;;;;;;;;0,0;;0,0;;0,1;0,2;0,01;;;;;;;;;;;;;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,02;;;0,96;;;;;;87,000;;;;;;;;;;;;;;;1;1;;1;;;;;2;1;1;;;;;;;;;;;;;;;;;;0;;0;;2;1;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;
62510060;1;12/01/2010;01/01/1900 10:00:00;31041,0;;;;;;28,0;8,1;;2,3;;;;;2,0;7,9;56,0;;;;;;;;;;;;;;;;;;0,0;;0,0;;0,1;0,2;0,01;;;;;;;;;;;;;;;;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,02;;;0,5;;;;;;89,000;;;;;;;;;;;;;;;1;1;;1;;;;;2;1;1;;;;;;;;;;;;;;;;;;0;;0;;2;1;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;
62510060;1;03/11/2009;01/01/1900 10:00:00;31040,0;;;;;;26,5;7,5;;5,8;;;;;2,0;8,1;64,0;;;;;;;;;;;;;;;;;;0,0;;0,0;;0,1;0,2;0,01;;;;;;;;;;;;;;;;29,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,02;;;0,5;;;;;;83,000;;;;;;;;;;;;;;;1;1;;1;;;;;2;1;1;;;;;;;;;;;;;;;;;;0;;0;;1;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;2;;;;2;;;;;;;;;;;;;;;;
62510060;1;03/11/2009;01/01/1900 11:10:00;;;;;;35,7;26,5;7,5;;5,8;69,0;;;;2,0;8,1;64,0;;12,0;;;;0,0;;;;;;;;7,16;1,36;;;;;;;0,1;0,2;0,01;;;0,1;;;;;;;;;;;;;29,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;197,0;;;;;;;;;;;;0,13;;0,02;;;0,5;;;;;;83,000;;;;;;;;;;0,1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;2;;;;;;;;;;;;;;;;
62510060;1;24/09/2009;01/01/1900 11:10:00;;;;;;19,8;20,3;7,4;;4,0;72,0;;;;2,0;7,8;80,0;;52,0;;;;80,0;;;;;;;;8,43;1,43;;;;;;;0,1;0,2;0,01;;;0,1;;;;;;;;;;;;;16,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,8;;;;;;;;;;;;0,25;;0,04;;;1,15;;;;;;84,000;;;;;;;;;;0,1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62510060;1;24/09/2009;01/01/1900 10:00:00;31039,0;;;;;;20,3;7,4;;4,0;;;;;2,0;7,8;80,0;;;;;;;;;;;;;;;;;;0,0;;0,0;;0,1;0,2;0,01;;;;;;;;;;;;;;;;16,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,04;;;1,15;;;;;;85,000;;;;;;;;;;;;;;;1;1;;1;;;;;2;1;1;;;;;;;;;;;;;;;;;;0;;0;;2;1;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;
62510060;1;28/07/2009;01/01/1900 10:00:00;31038,0;;;;;;18,2;7,7;;5,5;;;;;8,0;8,5;84,0;;;;;;;;;;;;;;;;;;0,0;;0,0;;0,1;0,2;0,01;;;;;;;;;;;;;;;;176,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,03;;;0,5;;;;;;73,000;;;;;;;;;;;;;;;1;1;;1;;;;;2;1;1;;;;;;;;;;;;;;;;;;0;;0;;1;2;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;2;;;;2;;;;;;;;;;;;;;;;
62510060;1;28/07/2009;01/01/1900 11:04:00;;;;;;21,3;18,2;7,7;;5,5;74,0;;;;8,0;8,5;84,0;;38,0;;;;72,0;;;;;;;;7,88;10,0;;;;;;;0,1;0,2;0,01;;;0,1;;0,001;0,01;0,01;;;;0,0002;0,02;;;;176,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,5;;;;;;;;;;;;0,1;;0,03;;;0,5;;;;;;78,000;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2;2;2;;;2;;2;2;2;;;2;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;2;;;;;;;;;;;;;;;;
62510060;1;21/05/2009;01/01/1900 14:30:00;;;;;;28,0;24,0;7,8;;3,7;78,0;;;;2,0;7,6;54,0;;18,0;;;;54,0;;;;;;;;8,46;10,0;;;;;;;0,1;0,2;0,01;;;0,1;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,3;;;;;;;;;;;;0,1;;0,04;;;0,64;;;;;;92,000;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2;2;2;;;2;;;;;;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;
62510060;1;21/05/2009;01/01/1900 10:00:00;31037,0;;;;;;24,0;7,8;;3,7;;;;;2,0;7,6;54,0;;;;;;;;;;;;;;;;;;0,0;;0,0;;0,1;0,2;0,01;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,04;;;0,64;;;;;;92,000;;;;;;;;;;;;;;;1;1;;1;;;;;2;1;1;;;;;;;;;;;;;;;;;;0;;0;;2;2;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;
62510060;1;03/03/2009;01/01/1900 10:00:00;31036,0;;;;;;28,0;6,9;;3,7;;;;;2,0;7,5;65,0;;;;;;;;;;;;;;;;;;0,0;;0,0;;0,1;0,2;0,01;;;;;;;;;;;;;;;;20,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,02;;;0,66;;;;;;85,000;;;;;;;;;;;;;;;1;1;;1;;;;;2;1;1;;;;;;;;;;;;;;;;;;0;;0;;2;2;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;
62510060;1;03/03/2009;01/01/1900 14:30:00;;;;;;35,0;28,0;6,9;;3,7;82,0;;;;2,0;7,5;65,0;;40,0;;;;51,0;;;;;;;;10,6;10,0;;;;;;;0,1;0,2;0,01;;;0,1;;;;;;;;;;;;;20,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,27;;;;;;;;;;;;0,1;;0,02;;;0,66;;;;;;85,000;;;;;;;;;;0,1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;2;;;;;;;2;2;2;;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;;
62510060;1;13/01/2009;01/01/1900 12:10:00;;;;;;30,0;26,0;7,4;;5,0;83,0;;;;2,0;8,5;57,0;;15,0;;;;57,0;;;;;;;;11,3;10,0;;;;;;;0,1;0,2;0,01;;;0,1;0,002;0,0001;0,002;0,009;;;;0,0002;0,02;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;0,02;;;0,5;;;;;;91,000;;;;;;;;;;0,1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;2;;;;;;;2;2;2;;;2;2;2;2;2;;;2;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;;;2;;;;;;;;;;;;;;;;
62510060;1;13/01/2009;01/01/1900 10:00:00;31035,0;;;;;;26,0;7,4;;5,0;;;;;2,0;8,5;57,0;;;;;;;;;;;;;;;;;;0,0;;0,0;;0,1;0,2;0,01;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,02;;;0,5;;;;;;91,000;;;;;;;;;;;;;;;1;1;;1;;;;;2;1;1;;;;;;;;;;;;;;;;;;0;;0;;2;1;2;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;
62510060;1;03/11/2008;01/01/1900 10:00:00;31034,0;;;;;;23,0;6,8;;4,3;;;;;2,0;7,6;60,0;;;;;;;;;;;;;;;;;;0,0;;0,0;;0,1;0,2;0,01;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,02;;;0,5;;;;;;92,000;;;;;;;;;;;;;;;1;1;;1;;;;;2;1;1;;;;;;;;;;;;;;;;;;0;;0;;1;1;2;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;
62510060;1;03/11/2008;01/01/1900 13:00:00;;;;;;27,0;23,0;6,8;;4,3;78,0;;;;2,0;7,6;60,0;;25,0;;;;56,0;;;;;;;;10,6;10,0;;;;;;;0,1;0,2;0,01;;;0,1;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,02;;;0,5;;;;;;92,000;;;;;;;;;;0,1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;2;;;;;;;2;2;2;;;2;;;;;;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;2;;;;;;;;;;;;;;;;
62510060;1;24/09/2008;01/01/1900 13:30:00;;;;;;19,0;20,0;6,7;;5,0;75,0;;;;2,0;8,0;62,0;;24,0;;;;52,0;;;;;;;;8,15;10,0;;;;;;;0,1;0,2;0,01;;;0,1;;;;;;;;;;;;;9700,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,02;;;0,5;;;;;;63,000;;;;;;;;;;0,1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;2;;;;;;;2;2;2;;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;2;;;;;;;;;;;;;;;;
62510060;1;24/09/2008;01/01/1900 10:00:00;31033,0;;;;;;20,0;6,7;;5,0;;;;;2,0;8,0;62,0;;;;;;;;;;;;;;;;;;0,0;;0,0;;0,1;0,2;0,01;;;;;;;;;;;;;;;;9700,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,02;;;0,5;;;;;;64,000;;;;;;;;;;;;;;;1;1;;1;;;;;2;1;1;;;;;;;;;;;;;;;;;;0;;0;;2;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;
62510060;1;24/07/2008;01/01/1900 10:00:00;31032,0;;;;;;18,0;6,7;;5,0;;;;;2,0;7,8;57,0;;;;;;;;;;;;;;;;;;0,0;;0,0;;0,1;0,2;0,01;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,04;;;0,61;;;;;;90,000;;;;;;;;;;;;;;;1;1;;1;;;;;2;1;1;;;;;;;;;;;;;;;;;;0;;0;;2;1;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;
